SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,TIMEZONE,ETA_OFFSET,SPEED,ETA_UPDATED,DISTANCE_TO_GO,PORT_ID,CURRENT_PORT,CTA_ROUTE_FORECAST
688589,9381720,636026232,A8OX8,SKOPELOS,8,1785644036,LR,LIBERIA,8,FUJAIRAH,AE,790,1785326400,AE FJR,AE,Tanker,198,56.57206,25.165762,4.0,4,0.0,,0,20585,FUJAIRAH ANCH,false
6307099,9828388,636020892,5LBF6,AL FALAH,8,1785597167,LR,LIBERIA,12,KHOR FAKKAN,AE,18560,1784894400,AEKLF,,Tanker,99,57.048168,25.175501,4.0,4,3.2,,0,,,false
727052,9304588,352005406,3E8681,PEACE GULF,8,1785643778,PA,PANAMA,34,SHINAS,OM,18580,1785632400,SHINAS,,Tanker,238,56.603966,24.840124,4.0,4,0.0,2026-08-01 20:52:00,0,,,false
6116920,9383352,620800211,D6A4211,PARITOSH,8,1785538328,KM,COMOROS,59,HAMRIYA FREE ZONE,AE,1699,,"HAMRIYAH,UAE",,Tanker,,50.086143,28.414391,3.0,,,2026-07-31 22:31:00,336,,,true
676005,9653408,447184000,9KFH,AL FUNTAS,8,1779664888,KW,KUWAIT,16,,,,1776492000,SOH OM,,Tanker,,57.313053,24.478159,4.0,,0.4,,0,,,false
7217552,9916824,636021496,5LEF5,ZAKHER,8,1784949287,LR,LIBERIA,6,FUJAIRAH,AE,790,1783251960,AE FJR,AE,Tanker,320,56.531254,25.276066,4.0,4,0.0,,0,20585,FUJAIRAH ANCH,false
706911,9572111,632001094,3X2069,DIGNITY,8,1785616656,GN,GUINEA,4,,,,1782241200,OMSHN,,Tanker,259,56.585808,24.767481,4.0,,0.0,,0,,,false
3503413,9694622,538010974,V7A6391,MADO,8,1785644147,MH,MARSHALL ISLANDS,24,SOHAR,OM,18567,1785268800,OMSOH,OM,Tanker,183,56.668781,24.56115,4.0,4,0.1,2026-08-02 03:53:00,2,22481,SOHAR ANCH,true
214863,9166156,647553072,5RA72,BERBERA STAR 7,8,1785644023,MG,MADAGASCAR,66,KHOR FAKKAN,AE,18560,1785537000,KHORFAKKAN UAE,AE,Tanker,94,56.474865,25.394089,4.0,4,0.1,,0,20586,KHOR FAKKAN ANCH,false
754113,9481178,518998866,E5U4846,BLUE MAJESTY,8,1785644158,CK,COOK ISLANDS,6,,,,1784080800,FOR ORDERS,,Tanker,,55.111992,25.632008,4.0,,0.0,,0,,,false
687078,9588976,466007000,A7SW,SIDRA AL WAKRA,8,1784507512,QA,QATAR,2,,,,,MESD,QA,Tanker,273,51.618019,24.88866,3.0,,0.1,,0,22441,MESAIEED ANCH,false
